,MMSI,ShipName,IMO,ShipType,Flag
196,352001852,BARBAROS ULUC VARDAL,9291602,Tanker,Panama (Republic of)
197,356185000,ALGRACE,9154270,Cargo Ship,Panama (Republic of)
198,511100696,ADAM-A              ,9114543,Cargo Ship,Palau (Republic of)
199,271000766,MIRA AKAY           ,9045663,Cargo Ship,Republic of Türkiye
200,538003141,EQUATOR             ,9363766,Cargo Ship,Marshall Islands (Republic of the)
201,271044383,GULLUK              ,9228100,Cargo Ship,Republic of Türkiye
202,372046000,TURGUT SAHIN,9135858,Cargo Ship,Panama (Republic of)
203,241812000,NEPTUNE THARROS     ,9431850,0,Greece
204,246530000,RIJNBORG,9355812,Cargo Ship,Netherlands (Kingdom of the)
205,271046489,EPHESUS SEAWAYS,9816830,Cargo Ship,Republic of Türkiye
206,210330000,LEDRA EXPLORER      ,8204781,Tug,Cyprus (Republic of)
207,636023254,M/T NIKSAR,,Unknown,Liberia (Republic of)
209,256214000,CMA CGM CONSTANZA   ,,Unknown,Malta
210,246765000,HUNZEDIJK           ,,Unknown,Netherlands (Kingdom of the)
211,511101242,YUMISE,,Unknown,Palau (Republic of)
212,636017608,MSC RENAISSANCE III ,,Unknown,Liberia (Republic of)
213,511100949,VALENTE             ,9298272,Tanker,Palau (Republic of)
214,241689000,MINERVA KALLISTO    ,9853008,Tanker,Greece
215,636015406,SOFIA R             ,9530967,Cargo Ship,Liberia (Republic of)
216,636019823,MAKEDONIKOS         ,,Unknown,Liberia (Republic of)
217,636021195,AQUAHONOR           ,9925136,Tanker,Liberia (Republic of)
218,271043164,ULUSOY-14,9506253,Cargo Ship,Republic of Türkiye
219,538007701,AGIA ELENI          ,,Unknown,Marshall Islands (Republic of the)
220,636022736,TATIANA             ,9340128,Tanker,Liberia (Republic of)
221,518998779,CHONGCHON,9294123,Tanker,New Zealand - Cook Islands
222,256101000,ALICE               ,9323792,Tanker,Malta
223,636022825,MILANO              ,9286059,Tanker,Liberia (Republic of)
224,273443330,SANKT PETERBURG,9288980,Tanker,Russian Federation
225,256212000,LUCKY TRADER        ,9952608,Tanker,Malta
226,626353000,MYSTRAS             ,9314882,Tanker,Gabonese Republic
227,626241000,LAGOON              ,9352195,Tanker,Gabonese Republic
228,538010147,YALOUSSA            ,9464546,Cargo Ship,Marshall Islands (Republic of the)
229,352001464,AK AMBITION         ,9008079,Cargo Ship,Panama (Republic of)
231,511100936,SATURN I            ,9655470,Tanker,Palau (Republic of)
232,229674000,HABIP BAYRAK        ,,Unknown,Malta
233,538006206,CENTURIUS           ,9712618,Cargo Ship,Marshall Islands (Republic of the)
234,538004145,ORANGE STARS        ,,Unknown,Marshall Islands (Republic of the)
235,355415000,OSPREY BULKER,,Unknown,Panama (Republic of)
236,626295000,OLIVE               ,9318034,Tanker,Gabonese Republic
237,246320000,VERTOM TOMMA        ,,Unknown,Netherlands (Kingdom of the)
238,636093169,SALAHUDDIN,,Unknown,Liberia (Republic of)
239,373746000,NEW COMMANDER       ,,Unknown,Panama (Republic of)
240,511100861,HALIM M             ,8606109,Cargo Ship,Palau (Republic of)
241,372668000,GAZ FRATERNITY      ,,Unknown,Panama (Republic of)
242,271000748,ARTEMIS SEAWAYS,9293428,Cargo Ship,Republic of Türkiye
243,357943000,AC XINGHAI          ,,Unknown,Panama (Republic of)
244,636022189,KAPTAN ERDOGAN,,Unknown,Liberia (Republic of)
245,255806375,SIDER KING          ,,Unknown,Portugal - Madeira
246,636022735,GRACE FELIX         ,9391402,Tanker,Liberia (Republic of)
247,636018086,AGIA DOXA           ,9467976,Cargo Ship,Liberia (Republic of)
248,304707000,JOHANN              ,,Unknown,Antigua and Barbuda
249,538002734,NAVIOS VERMILION    ,,Unknown,Marshall Islands (Republic of the)
250,352002015,BARBAROS HAYRETTIN V,,Unknown,Panama (Republic of)
251,249740000,LUDOGORETS          ,,Unknown,Malta
252,215912000,NEPTUNE OKEANIS,9306706,Cargo Ship,Malta
253,636021871,CECELA S            ,9227857,Cargo Ship,Liberia (Republic of)
254,304352000,MV C.ENDEAVOUR      ,,Unknown,Antigua and Barbuda
255,538009727,VIKING BRAVERY      ,,Unknown,Marshall Islands (Republic of the)
256,636022681,EDT AEOLUS          ,9476006,Tug,Liberia (Republic of)
257,477648700,M/V LUNA MAERSK     ,9190781,Cargo Ship,China (People's Republic of) - Hong Kong (Special Administrative Region of China)
258,636017683,PERITO MORENO,,Unknown,Liberia (Republic of)
